Country,Summer Olympics Gold
Afghanistan ,0
Algeria ,5
Argentina ,21
Armenia ,2
Australasia ,3
Australia ,164
Austria ,20
Azerbaijan ,7
Bahamas ,8
Bahrain ,2
Barbados ,0
Belarus ,13
Belgium ,44
Bermuda ,1
Bohemia ,0
Botswana ,0
Brazil ,37
British West Indies ,0
Bulgaria ,54
Burkina Faso ,0
Burundi ,1
Cameroon ,3
Canada ,71
Chile ,2
China ,263
Colombia ,5
Costa Rica ,1
Ivory Coast ,1
Croatia ,14
Cuba ,84
Cyprus ,0
Czech Republic ,19
Czechoslovakia ,49
Denmark ,48
Djibouti ,0
Dominican Republic ,3
Ecuador ,3
Egypt ,8
Eritrea ,0
Estonia ,10
Ethiopia ,23
Fiji ,2
Finland ,101
France ,223
Gabon ,0
Georgia ,10
Germany ,201
United Team of Germany ,28
East Germany ,153
West Germany ,56
Ghana ,0
Great Britain ,284
Greece ,35
Grenada ,1
Guatemala ,0
Guyana ,0
Haiti ,0
Hong Kong ,2
Hungary ,181
Iceland ,0
India ,10
Indonesia ,8
Iran ,24
Iraq ,0
Ireland ,11
Israel ,3
Italy ,217
Jamaica ,26
Japan ,169
Jordan ,1
Kazakhstan ,14
Kenya ,35
Kosovo ,3
North Korea ,16
South Korea ,96
Kuwait ,0
Kyrgyzstan ,0
Latvia ,4
Lebanon ,0
Liechtenstein ,0
Lithuania ,6
Luxembourg ,2
Malaysia ,0
Mauritius ,0
Mexico ,13
Moldova ,0
Mongolia ,2
Montenegro ,0
Morocco ,7
Mozambique ,1
Namibia ,0
Netherlands ,95
Netherlands Antilles ,0
New Zealand ,53
Niger ,0
Nigeria ,3
North Macedonia ,0
Norway ,61
Pakistan ,3
Panama ,1
Paraguay ,0
Peru ,1
Philippines ,1
Poland ,72
Portugal ,5
Puerto Rico ,2
Qatar ,2
Romania ,90
Russia ,147
Russian Empire ,1
Soviet Union ,395
Unified Team ,45
Olympic Athletes from Russia ,0
ROC ,20
San Marino ,0
Saudi Arabia ,0
Samoa ,0
Senegal ,0
Serbia ,6
Serbia and Montenegro ,2
Singapore ,1
Slovakia ,10
Slovenia ,8
South Africa ,27
Spain ,48
Sri Lanka ,0
Sudan ,0
Suriname ,1
Sweden ,147
Switzerland ,53
Syria ,1
Chinese Taipei ,7
Tajikistan ,1
Tanzania ,0
Thailand ,10
Togo ,0
Tonga ,0
Trinidad and Tobago ,3
Tunisia ,5
Turkey ,41
Turkmenistan ,0
Uganda ,4
Ukraine ,35
United Arab Emirates ,1
United States ,1061
Uruguay ,2
Uzbekistan ,10
Venezuela ,3
Vietnam ,1
Virgin Islands ,0
Yugoslavia ,26
Zambia ,0
Zimbabwe ,3
Independent Olympic Athletes ,1
Independent Olympic Participants ,0
Mixed team ,11
